run_id,model,coverage,joint_parsed,joint_all,DL_G,DL_D_given_G,MDL,MDL_per_msg,n_lex,n_struct,n_msgs,n_covered
1779908251,gpt54,0.7,1.0,0.7,7313.6,4041.1,11354.7,378.49,78,188,30,21
1780425678,gpt54,0.39285714285714285,0.182,0.071,7423.7,7792.2,15215.9,271.71,113,170,56,22
1780478385,opus47,0.53125,0.364,0.25,7487.8,4696.8,12184.7,190.39,127,149,64,34
1780480309,opus47,0.6206896551724138,0.806,0.5,7603.7,3263.9,10867.6,187.37,107,177,58,36
1780598450,gpt54,0.4772727272727273,1.0,0.477,6859.7,7054.0,13913.7,316.22,81,190,44,21
1780650332,opus47,0.6666666666666666,0.778,0.519,8152.8,5066.8,13219.6,244.81,137,163,54,36
1780653195,sonnet,0.3076923076923077,0.938,0.288,7425.4,7303.9,14729.3,283.26,88,200,52,16
1781173570,opus47,0.26785714285714285,0.667,0.179,9324.8,8440.0,17764.8,317.23,138,199,56,15
1781173592,sonnet,0.48333333333333334,0.552,0.267,6294.9,7008.2,13303.1,221.72,98,135,60,29
1779909805,gpt54,0.8958333333333334,0.767,0.688,7153.4,3003.0,10156.4,211.59,90,181,48,43
1780476965,sonnet,0.5769230769230769,0.533,0.308,6596.9,5693.2,12290.1,236.35,85,168,52,30
1780478524,sonnet,0.5576923076923077,0.793,0.442,7540.9,11477.2,19018.1,365.73,105,175,52,29
1780598092,gpt54,0.717391304347826,0.727,0.522,7655.8,5331.1,12986.9,282.32,88,177,46,33
1780600361,gpt54,0.8571428571428571,1.0,0.857,6124.0,2431.9,8555.9,152.78,59,189,56,48
1780650845,sonnet,0.734375,0.936,0.688,6971.9,10045.3,17017.2,132.95,97,176,128,94
1780653639,sonnet,0.717948717948718,0.714,0.513,5415.1,4092.4,9507.5,121.89,41,172,78,56
1781173588,opus47,0.48333333333333334,0.034,0.017,7488.2,4373.8,11862.0,197.7,136,134,60,29
1781173593,opus47,0.6153846153846154,0.688,0.423,8345.0,5441.9,13786.9,265.13,111,199,52,32
1779978245,gpt54,0.39285714285714285,1.0,0.393,7398.3,5711.2,13109.5,468.2,110,176,28,11
1780476985,opus47,0.359375,0.235,0.125,7521.5,7831.4,15353.0,239.89,119,157,64,23
1780478844,opus47,0.6666666666666666,0.85,0.567,7641.2,6176.6,13817.8,230.3,82,214,60,40
1780598097,gpt54,0.8913043478260869,0.976,0.87,6914.7,1386.4,8301.1,180.46,82,183,46,41
1780600649,gpt54,0.6707317073170732,0.618,0.415,6436.2,5309.6,11745.9,143.24,102,152,82,55
1780651882,opus47,0.6323529411764706,0.558,0.353,6259.5,3943.0,10202.5,150.04,84,157,68,43
1780654108,opus47,0.875,0.786,0.688,7374.4,1597.7,8972.1,186.92,92,186,48,42
1781173589,sonnet,0.4189189189189189,0.516,0.216,6727.1,9298.8,16025.9,216.57,128,139,74,31
1781173594,opus47,0.7916666666666666,0.974,0.771,7619.5,4326.1,11945.6,248.87,93,192,48,38
1779978252,gpt54,0.8928571428571429,1.0,0.893,7725.3,1721.7,9447.0,337.39,70,176,28,25
1780478036,sonnet,0.7272727272727273,0.719,0.523,6831.2,4909.0,11740.2,266.82,110,141,44,32
1780478990,opus47,0.85,0.971,0.825,8051.0,2431.9,10482.9,262.07,95,198,40,34
1780598311,gpt54,0.9642857142857143,0.963,0.929,7889.1,780.5,8669.6,309.63,71,232,28,27
1780611949,gpt54,0.7954545454545454,1.0,0.795,7057.4,3315.0,10372.4,235.74,79,191,44,35
1780652668,sonnet,0.39655172413793105,0.348,0.138,7707.7,8450.8,16158.5,278.59,75,239,58,23
1780654381,sonnet,0.25892857142857145,0.435,0.241,5108.6,11026.6,16135.3,144.06,96,100,112,29
1781173590,sonnet,0.35365853658536583,0.655,0.232,7514.6,10738.7,18253.4,222.6,95,179,82,29
1781173595,sonnet,0.1484375,1.0,0.148,7163.9,18078.1,25242.0,197.2,103,163,128,19
1780424131,gpt54,0.8076923076923077,1.0,0.808,7874.2,1840.9,9715.0,373.66,77,207,26,21
1780478169,sonnet,0.5454545454545454,0.861,0.47,10575.4,5232.6,15808.0,239.51,167,202,66,36
1780479757,sonnet,0.3695652173913043,0.569,0.21,7245.8,14280.7,21526.5,155.99,103,156,138,51
1780598317,gpt54,0.275,0.727,0.2,6822.3,9228.6,16050.9,401.27,98,154,40,11
1780652734,opus47,0.4142857142857143,0.586,0.243,8250.0,6416.0,14666.0,209.51,117,182,70,29
1780654410,opus47,0.5588235294117647,0.526,0.294,7415.2,5679.1,13094.2,192.56,111,182,68,38
1781173591,opus47,0.42857142857142855,0.611,0.314,7042.8,8647.0,15689.8,224.14,105,153,70,30
1781175557,sonnet,0.7608695652173914,0.529,0.402,7190.9,7327.6,14518.5,157.81,102,177,92,70
1780612051,gpt54,0.8225806451612904,1.0,0.823,7007.7,5637.2,12644.9,203.95,89,175,62,51
