stat,pearson_r,pearson_p,spearman_r,spearman_p,n
DL(G) ~ success,-0.2564191566707229,0.08908088738183548,-0.19006167569915647,0.21110584170260493,45
DL(D|G) ~ success,-0.6513378159747232,1.26410553596252e-06,-0.649509379246909,1.3847944963754315e-06,45
DL(G) ~ DL(D|G),0.20364755828809014,0.1796683430042792,0.22108036890645585,0.144442063624765,45
coverage ~ DL(D|G),-0.5092752979815625,0.0003531777852589368,-0.48735177865612644,0.0006853709314028561,45
coverage ~ success,0.36347811157092913,0.014117417177028978,0.2927477754866174,0.05099282218728534,45
partial DL(G)|cov ~ success,-0.21164674950122697,0.1678419851193048,,,45
partial DL(D|G)|cov ~ success,-0.5815189044035222,3.477915486401244e-05,,,45
