root_id,seed_id,seed_index,model,DL_G,pcfg_DgG_total,pcfg_DgG_pm,MDL_abs,test_coverage,n_test,frac_rules_unseen,succ_test
1779908251,1780952422,0,gpt54,7313.6,6523.7,181.21,13837.3,0.333,36,0.137,0.1
1779908251,1780952307,1,gpt54,7313.6,4747.7,226.08,12061.3,0.333,21,0.115,0.1
1779908251,1780070988,2,gpt54,7313.6,7713.5,233.74,15027.1,0.152,33,0.116,0.1
1780425678,1780950044,0,gpt54,7423.7,4898.7,122.47,12322.4,0.4,40,0.058,0.1
1780425678,1780950033,1,gpt54,7423.7,6499.1,127.43,13922.8,0.333,51,0.055,0.1
1780425678,1780949850,2,gpt54,7423.7,6065.7,131.86,13489.4,0.413,46,0.061,0.4
1780478385,1780967335,0,opus47,7487.8,2368.7,37.01,9856.5,0.953,64,0.066,0.1
1780478385,1780967154,1,opus47,7487.8,2513.4,39.27,10001.2,0.922,64,0.068,0.0
1780478385,1780967052,2,opus47,7487.8,1989.4,49.73,9477.2,0.875,40,0.056,0.0
1780480309,1780969910,0,opus47,7603.7,1613.3,23.72,9217.0,0.647,68,0.108,1.0
1780480309,1780969895,1,opus47,7603.7,1564.3,23.0,9168.0,0.647,68,0.084,1.0
1780480309,1780969846,2,opus47,7603.7,1613.3,23.72,9217.0,0.647,68,0.108,1.0
1780598450,1780971682,0,gpt54,6859.7,5740.6,140.01,12600.3,0.195,41,0.25,0.1
1780598450,1780970534,1,gpt54,6859.7,6450.4,129.01,13310.1,0.34,50,0.17,0.2
1780598450,1780969869,2,gpt54,6859.7,6774.9,111.06,13634.6,0.492,61,0.519,0.4
1780650332,1780985921,0,opus47,8152.8,5422.8,100.42,13575.6,0.685,54,0.061,0.5
1780650332,1780985483,1,opus47,8152.8,6841.6,106.9,14994.4,0.625,64,0.092,0.6
1780650332,1780985007,2,opus47,8152.8,6774.2,99.62,14927.0,0.676,68,0.079,0.6
1780653195,1780988035,0,sonnet,7425.4,8214.8,111.01,15640.2,0.23,74,0.073,0.5
1780653195,1780988004,1,sonnet,7425.4,7467.5,109.82,14892.9,0.25,68,0.078,0.6
1780653195,1780986935,2,sonnet,7425.4,8928.3,117.48,16353.7,0.224,76,0.074,0.5
1781173570,1781550326,0,opus47,9324.8,5417.2,193.47,14742.0,0.321,28,0.181,0.1
1781173570,1781550319,1,opus47,9324.8,7224.3,225.76,16549.1,0.188,32,0.14,0.1
1781173570,1781550312,2,opus47,9324.8,6781.2,188.37,16106.0,0.389,36,0.221,0.3
1781173592,1781553167,0,sonnet,6294.9,6492.8,124.86,12787.7,0.5,52,0.06,0.3
