root_id,seed_id,seed_index,model,DL_G,pcfg_DgG_total,pcfg_DgG_pm,MDL_abs,test_coverage,n_test,frac_rules_unseen,succ_test
1781173592,1781552890,1,sonnet,6294.9,5092.8,106.1,11387.7,0.583,48,0.054,0.1
1781173592,1781552823,2,sonnet,6294.9,6510.9,120.57,12805.8,0.519,54,0.068,0.1
1779909805,1780077892,0,gpt54,7153.4,1209.3,18.89,8362.7,1.0,64,0.075,0.8
1779909805,1780077885,1,gpt54,7153.4,2115.7,33.06,9269.1,0.984,64,0.077,0.7
1779909805,1780077156,2,gpt54,7153.4,3187.5,46.87,10340.9,0.941,68,0.075,0.7
1780476965,1780965493,0,sonnet,6596.9,5913.5,101.96,12510.4,0.552,58,0.069,0.4
1780476965,1780965162,1,sonnet,6596.9,6194.3,99.91,12791.2,0.516,62,0.064,0.4
1780476965,1780965103,2,sonnet,6596.9,6188.0,88.4,12784.9,0.557,70,0.067,0.5
1780478524,1780968351,0,sonnet,7540.9,8439.1,234.42,15980.0,0.583,36,0.23,0.4
1780478524,1780967889,1,sonnet,7540.9,7575.7,199.36,15116.6,0.684,38,0.249,0.4
1780478524,1780967336,2,sonnet,7540.9,9084.5,239.07,16625.4,0.579,38,0.183,0.4
1780598092,1780967664,0,gpt54,7655.8,5742.1,87.0,13397.9,0.667,66,0.072,0.4
1780598092,1780967579,1,gpt54,7655.8,4275.5,73.71,11931.3,0.759,58,0.091,0.6
1780598092,1780967057,2,gpt54,7655.8,4399.3,73.32,12055.1,0.733,60,0.09,0.4
1780600361,1780971801,0,gpt54,6124.0,2475.2,32.57,8599.2,0.908,76,0.082,1.0
1780600361,1780971796,1,gpt54,6124.0,2466.5,41.11,8590.5,0.917,60,0.096,0.6
1780600361,1780971744,2,gpt54,6124.0,2998.5,38.44,9122.5,0.885,78,0.082,1.0
1780650845,1780985882,0,sonnet,6971.9,19425.2,154.17,26397.1,0.675,126,0.105,0.0
1780650845,1780985805,1,sonnet,6971.9,13281.0,125.29,20252.9,0.717,106,0.087,0.2
1780650845,1780951571,2,sonnet,6971.9,17999.7,121.62,24971.6,0.716,148,0.106,0.0
1780653639,1780988320,0,sonnet,5415.1,9911.6,59.71,15326.7,0.741,166,0.142,0.5
1780653639,1780988169,1,sonnet,5415.1,7032.8,68.95,12447.9,0.618,102,0.127,0.9
1780653639,1780988161,2,sonnet,5415.1,11699.3,70.48,17114.4,0.608,166,0.182,0.7
1781173588,1781550355,0,opus47,7488.2,8426.8,145.29,15915.0,0.345,58,0.09,0.2
1781173588,1781550347,1,opus47,7488.2,9186.7,153.11,16674.9,0.283,60,0.075,0.3
1781173588,1781550340,2,opus47,7488.2,7661.4,127.69,15149.6,0.35,60,0.075,0.2
1781173593,1781553825,0,opus47,8345.0,5515.3,88.96,13860.3,0.597,62,0.084,0.4
1781173593,1781553697,1,opus47,8345.0,5473.3,88.28,13818.3,0.548,62,0.069,0.5
1781173593,1781553419,2,opus47,8345.0,5148.5,75.71,13493.5,0.559,68,0.08,0.4
1779978245,1780952484,0,gpt54,7398.3,3765.2,188.26,11163.5,0.6,20,0.089,0.1
1779978245,1780080639,1,gpt54,7398.3,3734.7,186.74,11133.0,0.6,20,0.089,0.1
1779978245,1780080633,2,gpt54,7398.3,3742.1,187.1,11140.4,0.6,20,0.089,0.1
1780476985,1780965821,0,opus47,7521.5,6665.6,81.29,14187.1,0.695,82,0.025,0.2
1780476985,1780965626,1,opus47,7521.5,5747.5,99.09,13269.0,0.603,58,0.036,0.4
1780476985,1780965513,2,opus47,7521.5,6598.4,86.82,14119.9,0.671,76,0.033,0.2
1780478844,1780968760,0,opus47,7641.2,7803.9,100.05,15445.1,0.692,78,0.066,0.4
1780478844,1780968688,1,opus47,7641.2,6220.4,91.48,13861.6,0.735,68,0.057,0.5
1780478844,1780968545,2,opus47,7641.2,8671.6,114.1,16312.8,0.645,76,0.061,0.4
1780598097,1780969654,0,gpt54,6914.7,3676.3,56.56,10591.0,0.846,65,0.167,0.8
1780598097,1780969589,1,gpt54,6914.7,3377.6,52.78,10292.3,0.891,64,0.163,0.8
1780598097,1780969571,2,gpt54,6914.7,2719.2,41.83,9633.9,0.923,65,0.151,0.7
1780600649,1780973260,0,gpt54,6436.2,2531.9,31.65,8968.1,0.925,80,0.096,0.9
1780600649,1780972709,1,gpt54,6436.2,2147.3,28.25,8583.5,0.974,76,0.102,1.0
1780600649,1780971916,2,gpt54,6436.2,2862.9,34.91,9299.1,0.927,82,0.087,0.6
1780651882,1780986241,0,opus47,6259.5,6335.2,93.16,12594.7,0.368,68,0.053,0.0
1780651882,1780951954,1,opus47,6259.5,6915.1,128.06,13174.6,0.667,54,0.096,0.0
1780651882,1780951904,2,opus47,6259.5,6278.9,112.12,12538.4,0.482,56,0.081,0.2
1780654108,1780988632,0,opus47,7374.4,5378.9,122.25,12753.3,0.705,44,0.053,0.2
1780654108,1780988447,1,opus47,7374.4,5362.2,99.3,12736.6,0.741,54,0.06,0.3
1780654108,1780988387,2,opus47,7374.4,4592.9,91.86,11967.3,0.78,50,0.053,0.3
1781173589,1781550382,0,sonnet,6727.1,10431.9,127.22,17159.0,0.317,82,0.113,0.6
1781173589,1781550375,1,sonnet,6727.1,13052.7,151.78,19779.8,0.209,86,0.099,0.5
1781173589,1781550367,2,sonnet,6727.1,10867.4,120.75,17594.5,0.289,90,0.076,0.4
1781173594,1781554332,0,opus47,7619.5,5472.0,144.0,13091.5,0.711,38,0.038,0.4
1781173594,1781554174,1,opus47,7619.5,5646.4,148.59,13265.9,0.711,38,0.047,0.4
1781173594,1781553926,2,opus47,7619.5,5500.7,144.75,13120.2,0.711,38,0.036,0.4
1779978252,1780081504,0,gpt54,7725.3,947.9,157.98,8673.2,0.833,6,0.113,0.0
1779978252,1780081407,1,gpt54,7725.3,2731.8,136.59,10457.1,0.9,20,0.077,0.1
1779978252,1780080739,2,gpt54,7725.3,2731.8,136.59,10457.1,0.9,20,0.077,0.1
1780478036,1780966678,0,sonnet,6831.2,3647.4,227.96,10478.6,0.562,16,0.098,0.1
1780478036,1780966361,1,sonnet,6831.2,4495.8,249.77,11327.0,0.389,18,0.089,0.1
1780478036,1780966075,2,sonnet,6831.2,4534.9,251.94,11366.1,0.5,18,0.107,0.1
1780478990,1780968935,0,opus47,8051.0,4979.8,118.57,13030.8,0.786,42,0.089,0.4
1780478990,1780968925,1,opus47,8051.0,4575.8,120.42,12626.8,0.789,38,0.077,0.4
1780478990,1780968837,2,opus47,8051.0,4757.8,113.28,12808.8,0.81,42,0.093,0.4
1780598311,1780969264,0,gpt54,7889.1,2285.9,134.46,10175.0,0.882,17,0.062,0.1
1780598311,1780968554,1,gpt54,7889.1,2438.0,135.45,10327.1,0.833,18,0.062,0.1
1780598311,1780968348,2,gpt54,7889.1,2349.9,138.23,10239.0,0.882,17,0.073,0.1
1780611949,1780971847,0,gpt54,7057.4,4196.9,62.64,11254.3,0.746,67,0.107,0.7
1780611949,1780945096,1,gpt54,7057.4,3335.3,50.53,10392.7,0.788,66,0.113,0.9
1780611949,1780945089,2,gpt54,7057.4,4616.5,65.95,11673.9,0.714,70,0.104,0.7
1780652668,1780986920,0,sonnet,7707.7,9106.0,162.61,16813.7,0.321,56,0.083,0.2
1780652668,1780986591,1,sonnet,7707.7,7227.3,150.57,14935.0,0.417,48,0.077,0.2
1780652668,1780986311,2,sonnet,7707.7,6851.2,137.02,14558.9,0.52,50,0.121,0.3
1780654381,1780989831,0,sonnet,5108.6,7433.9,74.34,12542.5,0.56,100,0.074,0.7
1780654381,1780989400,1,sonnet,5108.6,9975.6,75.57,15084.2,0.583,132,0.071,0.4
1780654381,1780989360,2,sonnet,5108.6,11634.9,98.6,16743.5,0.542,118,0.058,0.4
1781173590,1781551462,0,sonnet,7514.6,4858.3,142.89,12372.9,0.324,34,0.06,0.1
1781173590,1781551154,1,sonnet,7514.6,5841.0,135.84,13355.6,0.349,43,0.074,0.4
1781173590,1781550394,2,sonnet,7514.6,4566.6,142.71,12081.2,0.312,32,0.075,0.3
1781173595,1781555833,0,sonnet,7163.9,18498.2,124.99,25662.1,0.061,148,0.293,0.4
1781173595,1781555284,1,sonnet,7163.9,18333.0,113.17,25496.9,0.093,162,0.237,0.3
1781173595,1781554946,2,sonnet,7163.9,15861.6,116.63,23025.5,0.088,136,0.236,0.4
1780424131,1780949812,0,gpt54,7874.2,2174.5,155.32,10048.7,0.857,14,0.071,0.1
1780424131,1780948721,1,gpt54,7874.2,2124.6,141.64,9998.8,0.867,15,0.066,0.1
1780424131,1780948433,2,gpt54,7874.2,2555.1,134.48,10429.3,0.526,19,0.082,0.0
1780478169,1780966903,0,sonnet,10575.4,7770.0,107.92,18345.4,0.292,72,0.102,0.2
1780478169,1780966748,1,sonnet,10575.4,7940.9,107.31,18516.3,0.297,74,0.081,0.1
1780478169,1780966712,2,sonnet,10575.4,8739.8,115.0,19315.2,0.263,76,0.113,0.1
1780479757,1780969732,0,sonnet,7245.8,20006.2,140.89,27252.0,0.169,142,0.175,0.0
1780479757,1780969274,1,sonnet,7245.8,16915.7,122.58,24161.5,0.145,138,0.134,0.0
1780479757,1780968938,2,sonnet,7245.8,20832.9,130.21,28078.7,0.113,160,0.224,0.2
1780598317,1780970044,0,gpt54,6822.3,6706.2,223.54,13528.5,0.167,30,0.061,0.1
1780598317,1780969931,1,gpt54,6822.3,7606.2,223.71,14428.5,0.176,34,0.18,0.1
1780598317,1780969806,2,gpt54,6822.3,8792.1,209.34,15614.4,0.238,42,0.22,0.2
1780652734,1780952347,0,opus47,8250.0,6466.8,95.1,14716.8,0.309,68,0.149,0.8
1780652734,1780952256,1,opus47,8250.0,6569.4,88.78,14819.4,0.324,74,0.128,0.5
1780652734,1780952062,2,opus47,8250.0,6462.9,97.92,14712.9,0.333,66,0.153,0.8
1780654410,1780990079,0,opus47,7415.2,6181.1,88.3,13596.3,0.543,70,0.094,0.2
1780654410,1780989921,1,opus47,7415.2,4343.6,63.88,11758.8,0.603,68,0.087,0.3
1780654410,1780989790,2,opus47,7415.2,5692.1,74.9,13107.3,0.579,76,0.082,0.2
1781173591,1781551940,0,opus47,7042.8,6322.3,83.19,13365.1,0.684,76,0.08,0.8
1781173591,1781551782,1,opus47,7042.8,6290.0,80.64,13332.8,0.705,78,0.074,0.7
1781173591,1781551655,2,opus47,7042.8,7061.6,90.53,14104.4,0.731,78,0.102,0.4
1781175557,1781556612,0,sonnet,7190.9,9904.4,126.98,17095.3,0.615,78,0.09,0.5
1781175557,1781556305,1,sonnet,7190.9,8350.6,139.18,15541.5,0.6,60,0.069,0.5
1781175557,1781556027,2,sonnet,7190.9,7854.3,112.2,15045.2,0.657,70,0.1,0.5
1780612051,1780974294,0,gpt54,7007.7,5038.2,86.87,12045.9,0.914,58,0.072,0.8
1780612051,1780974250,1,gpt54,7007.7,5316.6,69.95,12324.3,0.934,76,0.074,0.9
1780612051,1780972230,2,gpt54,7007.7,4912.5,98.25,11920.2,0.9,50,0.067,0.7
