run_id,round_number,perplexity,success,budget,postmortem,model
veyru/1780420457,9,4118.0762695279645,0,150,True,gpt-5.4
veyru/1780420457,10,2496.361047742996,1,150,True,gpt-5.4
veyru/1780420457,11,515.2457145529193,1,150,True,gpt-5.4
veyru/1780420457,12,933.7938182890882,0,150,True,gpt-5.4
veyru/1780420457,13,3601.356009951788,1,150,True,gpt-5.4
veyru/1780420457,14,1002.4315605215437,1,150,True,gpt-5.4
veyru/1780420457,15,8165.558836962252,0,150,True,gpt-5.4
veyru/1780420636,1,1682.3187442197534,0,150,True,gpt-5.4
veyru/1780420636,2,16285.977380761191,0,150,True,gpt-5.4
veyru/1780420636,3,3601.9328775644112,0,150,True,gpt-5.4
veyru/1780420636,4,1876.373163066664,1,150,True,gpt-5.4
veyru/1780420636,5,1205.4556245312008,1,150,True,gpt-5.4
veyru/1780420636,6,3910.0448793180667,1,150,True,gpt-5.4
veyru/1780420636,7,476.71905683962467,1,150,True,gpt-5.4
veyru/1780420636,8,2589.925881234179,1,150,True,gpt-5.4
veyru/1780420636,9,1944.8179641968457,1,150,True,gpt-5.4
veyru/1780420636,10,1598.6169451804603,0,150,True,gpt-5.4
veyru/1780420636,11,1545.2651936844638,1,150,True,gpt-5.4
veyru/1780420636,12,899.8396043024741,1,150,True,gpt-5.4
veyru/1780420636,13,1885.8003186406788,1,150,True,gpt-5.4
veyru/1780420636,14,1258.8138252368308,1,150,True,gpt-5.4
veyru/1780420636,15,1142.7446551286541,1,150,True,gpt-5.4
veyru/1780420992,1,109.04530786508869,0,150,True,gpt-5.4
veyru/1780420992,2,634.6712191313095,0,150,True,gpt-5.4
veyru/1780420992,3,37524.548879602036,0,150,True,gpt-5.4
veyru/1780420992,4,9995.626463323139,0,150,True,gpt-5.4
veyru/1780420992,5,47472.38093580343,0,150,True,gpt-5.4
veyru/1780420992,6,28833.44882674559,1,150,True,gpt-5.4
veyru/1780420992,7,36098.96600937106,1,150,True,gpt-5.4
veyru/1780420992,8,35898.18352777574,0,150,True,gpt-5.4
veyru/1780420992,9,20213.9584742501,0,150,True,gpt-5.4
veyru/1780420992,10,10707.344526927376,0,150,True,gpt-5.4
veyru/1780420992,11,18176.256220890835,0,150,True,gpt-5.4
veyru/1780420992,12,21089.417963751846,1,150,True,gpt-5.4
veyru/1780420992,13,22571.86985376102,1,150,True,gpt-5.4
veyru/1780420992,14,11919.613933909557,1,150,True,gpt-5.4
veyru/1780420992,15,29112.498195473716,1,150,True,gpt-5.4
veyru/1780422223,1,473.8050243733101,0,150,True,claude-sonnet-4-6
veyru/1780422223,2,6446.039778051768,0,150,True,claude-sonnet-4-6
veyru/1780422223,3,2352.345393848457,0,150,True,claude-sonnet-4-6
veyru/1780422223,4,36709.05032388408,0,150,True,claude-sonnet-4-6
veyru/1780422223,5,1157.4299654502624,0,150,True,claude-sonnet-4-6
veyru/1780422223,6,3056.4460271199605,0,150,True,claude-sonnet-4-6
veyru/1780422223,7,12625.012163427322,0,150,True,claude-sonnet-4-6
veyru/1780422223,8,1685.8236234761935,0,150,True,claude-sonnet-4-6
veyru/1780422223,9,8786.905743985484,0,150,True,claude-sonnet-4-6
veyru/1780422223,10,2515.2545215731075,1,150,True,claude-sonnet-4-6
veyru/1780422223,11,12338.703691016404,0,150,True,claude-sonnet-4-6
veyru/1780422223,12,2973.62239731699,0,150,True,claude-sonnet-4-6
veyru/1780422223,13,2807.832291835637,0,150,True,claude-sonnet-4-6
veyru/1780422223,14,2536.078774144864,0,150,True,claude-sonnet-4-6
veyru/1780422223,15,1746.0815930938443,0,150,True,claude-sonnet-4-6
veyru/1780422496,1,474.0227224778439,0,150,True,claude-sonnet-4-6
veyru/1780422496,2,327.8607838703328,0,150,True,claude-sonnet-4-6
veyru/1780422496,3,3099.542459341825,0,150,True,claude-sonnet-4-6
veyru/1780422496,4,7951.456999054031,0,150,True,claude-sonnet-4-6
veyru/1780422496,5,2648.4214952378834,0,150,True,claude-sonnet-4-6
veyru/1780422496,6,5246.024783181184,0,150,True,claude-sonnet-4-6
veyru/1780422496,7,12319.823656878101,0,150,True,claude-sonnet-4-6
veyru/1780422496,8,5984.757830448933,0,150,True,claude-sonnet-4-6
veyru/1780422496,9,4079.2851629556885,0,150,True,claude-sonnet-4-6
veyru/1780422496,10,2080.043249807916,0,150,True,claude-sonnet-4-6
veyru/1780422496,11,9405.537397614058,0,150,True,claude-sonnet-4-6
veyru/1780422496,12,1858.688460232829,0,150,True,claude-sonnet-4-6
veyru/1780422496,13,2893.3696335924587,0,150,True,claude-sonnet-4-6
veyru/1780422496,14,5506.140679123262,0,150,True,claude-sonnet-4-6
veyru/1780422496,15,3921.2521445427737,0,150,True,claude-sonnet-4-6
veyru/1780423041,1,254.02109282789965,0,150,False,gpt-5.4
veyru/1780423041,2,444.80393610213395,0,150,False,gpt-5.4
veyru/1780423041,3,703.9236272840316,1,150,False,gpt-5.4
veyru/1780423041,4,754.0900421273356,0,150,False,gpt-5.4
veyru/1780423041,5,1072.9364674473618,0,150,False,gpt-5.4
veyru/1780423041,6,512.2771170023046,1,150,False,gpt-5.4
veyru/1780423041,7,985.3100317719733,1,150,False,gpt-5.4
veyru/1780423041,8,1566.7565700103569,0,150,False,gpt-5.4
veyru/1780423041,9,17.55557747033167,0,150,False,gpt-5.4
veyru/1780423041,10,615.189436544901,0,150,False,gpt-5.4
veyru/1780423041,11,1354.3633538457736,0,150,False,gpt-5.4
veyru/1780423041,12,1439.6613102208773,0,150,False,gpt-5.4
veyru/1780423041,13,989.3526674510265,0,150,False,gpt-5.4
veyru/1780423041,14,821.7763923995005,0,150,False,gpt-5.4
veyru/1780423041,15,,0,150,False,gpt-5.4
veyru/1780423130,1,544.643593114214,0,150,True,claude-sonnet-4-6
veyru/1780423130,2,2269.020160869407,0,150,True,claude-sonnet-4-6
veyru/1780423130,3,16864.99079548128,0,150,True,claude-sonnet-4-6
veyru/1780423130,5,2972.199609640034,0,150,True,claude-sonnet-4-6
veyru/1780423130,6,571.258299483951,0,150,True,claude-sonnet-4-6
veyru/1780423130,7,2500.3542172713455,0,150,True,claude-sonnet-4-6
veyru/1780423130,8,25842.26771824469,1,150,True,claude-sonnet-4-6
veyru/1780423130,9,2644.216010943024,0,150,True,claude-sonnet-4-6
veyru/1780423130,10,2802.9401189802516,1,150,True,claude-sonnet-4-6
veyru/1780423130,11,2399.1257656635335,1,150,True,claude-sonnet-4-6
veyru/1780423130,12,1883.4703553798172,1,150,True,claude-sonnet-4-6
veyru/1780423130,13,2365.8244271686176,1,150,True,claude-sonnet-4-6
veyru/1780423130,14,2472.827680595203,1,150,True,claude-sonnet-4-6
veyru/1780423130,15,2973.81043667119,0,150,True,claude-sonnet-4-6
veyru/1780423211,1,216.61927984021526,1,250,False,gpt-5.4
veyru/1780423211,2,202.48124899463892,1,250,False,gpt-5.4
veyru/1780423211,3,259.6326335778837,0,250,False,gpt-5.4
veyru/1780423211,4,316.2816715026855,0,250,False,gpt-5.4
veyru/1780423211,5,307.4280206149356,0,250,False,gpt-5.4
veyru/1780423211,6,225.93386113695274,0,250,False,gpt-5.4
veyru/1780423211,7,471.6390697310126,0,250,False,gpt-5.4
veyru/1780423211,8,409.6426458640038,0,250,False,gpt-5.4
veyru/1780423211,9,452.5779640611795,0,250,False,gpt-5.4
veyru/1780423211,10,471.59876823492203,0,250,False,gpt-5.4
veyru/1780423211,11,705.1757347974557,0,250,False,gpt-5.4
veyru/1780423211,12,155.49843758098908,0,250,False,gpt-5.4
veyru/1780423211,13,273.82001476395027,0,250,False,gpt-5.4
veyru/1780423211,14,305.02422770226894,0,250,False,gpt-5.4
veyru/1780423211,15,917.4426468329711,0,250,False,gpt-5.4
veyru/1780423688,1,387.8940813835976,0,450,True,gpt-5.4
veyru/1780423688,2,1717.7631703740294,0,450,True,gpt-5.4
veyru/1780423688,3,17177.83534854393,0,450,True,gpt-5.4
veyru/1780423688,4,1593.8189418821607,1,450,True,gpt-5.4
veyru/1780423688,5,6525.877574708328,1,450,True,gpt-5.4
veyru/1780423688,6,33.33812392457868,1,450,True,gpt-5.4
veyru/1780423688,7,3186.453976195342,1,450,True,gpt-5.4
veyru/1780423688,8,1019.4305196170537,1,450,True,gpt-5.4
veyru/1780423688,9,2779.7735800667147,1,450,True,gpt-5.4
veyru/1780423688,10,41.831505566865765,1,450,True,gpt-5.4
veyru/1780423688,11,944.2496646935684,1,450,True,gpt-5.4
veyru/1780423688,12,1276.3962940160636,1,450,True,gpt-5.4
veyru/1780423688,13,992.2090308811818,1,450,True,gpt-5.4
veyru/1780423688,14,31.65875162741283,1,450,True,gpt-5.4
veyru/1780423688,15,42.88203359619323,1,450,True,gpt-5.4
veyru/1780424772,1,448.3601897863576,0,150,True,claude-sonnet-4-6
veyru/1780424772,2,584.4090762709523,0,150,True,claude-sonnet-4-6
veyru/1780424772,3,1139.5785035473268,0,150,True,claude-sonnet-4-6
veyru/1780424772,4,1442.1223551010262,0,150,True,claude-sonnet-4-6
veyru/1780424772,5,2269.7420135157618,0,150,True,claude-sonnet-4-6
veyru/1780424772,6,1891.3897609662247,0,150,True,claude-sonnet-4-6
veyru/1780424772,7,3330.3388269981447,0,150,True,claude-sonnet-4-6
veyru/1780424772,8,2592.422345096316,0,150,True,claude-sonnet-4-6
veyru/1780424772,9,2607.3434237753086,0,150,True,claude-sonnet-4-6
veyru/1780424772,10,2095.7094071755837,0,150,True,claude-sonnet-4-6
veyru/1780424772,11,2435.820158576887,0,150,True,claude-sonnet-4-6
veyru/1780424772,12,1035.8432781857298,0,150,True,claude-sonnet-4-6
veyru/1780424772,13,12068.706077609788,0,150,True,claude-sonnet-4-6
veyru/1780424772,14,1066.7058634257721,0,150,True,claude-sonnet-4-6
veyru/1780424772,15,6522.152096077933,0,150,True,claude-sonnet-4-6
veyru/1780424828,1,318.7423487117001,0,150,False,claude-sonnet-4-6
veyru/1780424828,2,599.2127333568841,0,150,False,claude-sonnet-4-6
veyru/1780424828,3,499.43766677990544,0,150,False,claude-sonnet-4-6
veyru/1780424828,4,1002.1826573028111,0,150,False,claude-sonnet-4-6
veyru/1780424828,5,1226.2523069848012,0,150,False,claude-sonnet-4-6
veyru/1780424828,6,301.82207763034955,0,150,False,claude-sonnet-4-6
veyru/1780424828,7,1256.4350314849416,0,150,False,claude-sonnet-4-6
veyru/1780424828,8,849.7436997084898,0,150,False,claude-sonnet-4-6
veyru/1780424828,9,20.18404314660065,0,150,False,claude-sonnet-4-6
veyru/1780424828,10,997.9808862015883,0,150,False,claude-sonnet-4-6
veyru/1780424828,11,555.8883307009638,0,150,False,claude-sonnet-4-6
veyru/1780424828,12,728.6101063686639,0,150,False,claude-sonnet-4-6
veyru/1780424828,13,905.7495686960303,0,150,False,claude-sonnet-4-6
veyru/1780424828,14,578.7649737638956,0,150,False,claude-sonnet-4-6
veyru/1780424828,15,976.7970749061633,0,150,False,claude-sonnet-4-6
veyru/1780425158,1,703.0942639893811,0,150,False,claude-sonnet-4-6
veyru/1780425158,2,452.2165602889336,0,150,False,claude-sonnet-4-6
veyru/1780425158,3,758.7850365954331,0,150,False,claude-sonnet-4-6
veyru/1780425158,4,592.4137125854933,0,150,False,claude-sonnet-4-6
veyru/1780425158,5,905.9117240066025,0,150,False,claude-sonnet-4-6
veyru/1780425158,6,965.1149935610931,0,150,False,claude-sonnet-4-6
veyru/1780425158,7,1504.940339037512,0,150,False,claude-sonnet-4-6
veyru/1780425158,8,697.7125868534746,1,150,False,claude-sonnet-4-6
veyru/1780425158,9,1561.784000416084,0,150,False,claude-sonnet-4-6
veyru/1780425158,10,811.701513577195,0,150,False,claude-sonnet-4-6
veyru/1780425158,11,938.1804277853556,0,150,False,claude-sonnet-4-6
veyru/1780425158,12,581.9336746004282,0,150,False,claude-sonnet-4-6
veyru/1780425158,13,1212.6526632309167,0,150,False,claude-sonnet-4-6
veyru/1780425158,14,593.5514695730293,0,150,False,claude-sonnet-4-6
veyru/1780425158,15,4471.663849042751,0,150,False,claude-sonnet-4-6
veyru/1780425683,1,288.85890635602163,0,450,True,claude-sonnet-4-6
veyru/1780425683,2,984.9311736551433,0,450,True,claude-sonnet-4-6
veyru/1780425683,3,567.0710571237865,1,450,True,claude-sonnet-4-6
veyru/1780425683,4,957.8296285877658,1,450,True,claude-sonnet-4-6
veyru/1780425683,5,703.932416228987,1,450,True,claude-sonnet-4-6
veyru/1780425683,6,720.0149967874426,1,450,True,claude-sonnet-4-6
veyru/1780425683,7,1416.7157432988788,1,450,True,claude-sonnet-4-6
veyru/1780425683,8,762.13157598924,1,450,True,claude-sonnet-4-6
veyru/1780425683,9,1325.2611241096276,1,450,True,claude-sonnet-4-6
veyru/1780425683,10,1482.4830166556885,1,450,True,claude-sonnet-4-6
veyru/1780425683,11,1115.8983757062638,1,450,True,claude-sonnet-4-6
veyru/1780425683,12,774.9924376322733,1,450,True,claude-sonnet-4-6
veyru/1780425683,13,990.3660587555512,1,450,True,claude-sonnet-4-6
veyru/1780425683,14,2413.5254260188617,1,450,True,claude-sonnet-4-6
veyru/1780425683,15,1152.6947195441373,1,450,True,claude-sonnet-4-6
veyru/1780426085,1,273.30861878409996,0,450,True,claude-sonnet-4-6
veyru/1780426085,2,888.2795614155057,1,450,True,claude-sonnet-4-6
veyru/1780426085,3,722.8861820371077,0,450,True,claude-sonnet-4-6
veyru/1780426085,4,637.9004641214434,0,450,True,claude-sonnet-4-6
veyru/1780426085,5,638.0986990626423,1,450,True,claude-sonnet-4-6
