run_key,model,provider,round_time_budget_seconds,seed,round_count,n_constructions,n_controls_tested,n_novel_tested,n_novel_pooled,grid_saturation_mean,grid_saturation_median,effective_saturation_decode_mean,cx_weighted_exact_rate,cx_weighted_decode_rate,item_weighted_exact_rate,item_weighted_bag_rate,item_weighted_decode_rate,item_weighted_valid_rate
veyru/1778877857,claude-sonnet-4-6,anthropic,150,730175194,15,1,3,42,41,0.75,0.75,1.0,0.5476190476190477,1.0,0.5555555555555556,0.5555555555555556,1.0,0.08888888888888889
veyru/1778877868,claude-opus-4-7,anthropic,150,251510859,15,2,11,2,1,0.9444444444444444,0.9444444444444444,1.0,0.5,1.0,0.9230769230769231,0.9230769230769231,0.9615384615384616,0.9230769230769231
veyru/1778877873,gpt-5.4,openai,150,1456952272,15,2,4,3,3,1.0,1.0,1.0,0.6666666666666666,0.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.5714285714285714
veyru/1778877883,gpt-5.4,openai,150,1822438676,15,2,4,7,7,1.0,1.0,1.0,0.0,0.7916666666666667,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.36363636363636365
veyru/1778877932,gpt-5.4,openai,250,1082376521,15,1,7,1,1,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0
veyru/1778877941,gpt-5.4,openai,250,1840551497,15,2,8,9,9,1.0,1.0,1.0,0.875,0.5625,0.8235294117647058,0.8235294117647058,0.7058823529411765,0.35294117647058826
veyru/1778878790,claude-sonnet-4-6,anthropic,250,1201171594,15,1,2,1,1,1.0,1.0,1.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666
veyru/1778878886,gpt-5.4,openai,450,507612507,15,1,2,0,0,1.0,1.0,,,,1.0,1.0,1.0,1.0
veyru/1778878983,claude-opus-4-7,anthropic,250,1108894012,15,2,4,10,10,1.0,1.0,1.0,0.9166666666666667,0.5,0.9285714285714286,0.9285714285714286,0.6428571428571429,0.2857142857142857
veyru/1778879414,claude-sonnet-4-6,anthropic,250,1488817174,15,7,26,21,21,1.0,1.0,1.0,0.4533333333333333,0.6966666666666667,0.7446808510638298,0.7446808510638298,0.8617021276595744,0.5957446808510638
veyru/1778879419,claude-opus-4-7,anthropic,250,41590297,15,2,7,40,40,1.0,1.0,1.0,0.375,0.7578125,0.23404255319148937,0.6170212765957447,0.6595744680851063,0.19148936170212766
veyru/1778879551,claude-opus-4-7,anthropic,250,1959388619,15,1,5,0,0,1.0,1.0,,,,1.0,1.0,0.5,1.0
veyru/1778880866,claude-sonnet-4-6,anthropic,450,369394895,15,1,5,17,17,1.0,1.0,1.0,1.0,0.8529411764705882,1.0,1.0,0.8863636363636364,0.22727272727272727
veyru/1778881319,claude-opus-4-7,anthropic,450,1524614360,15,1,2,0,0,1.0,1.0,,,,0.0,0.0,1.0,1.0
veyru/1778881541,claude-opus-4-7,anthropic,450,1497257848,15,1,2,46,46,1.0,1.0,1.0,1.0,0.9130434782608695,1.0,1.0,0.90625,0.0
veyru/1778882943,claude-sonnet-4-6,anthropic,800,533657164,15,2,4,4,4,1.0,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.8125,0.0
veyru/1778883044,claude-sonnet-4-6,anthropic,800,1868584591,15,1,3,9,9,1.0,1.0,1.0,0.0,0.7222222222222222,0.0,0.0,0.75,0.0
veyru/1778883170,claude-opus-4-7,anthropic,800,1506829538,15,2,15,72,72,1.0,1.0,1.0,0.08333333333333333,0.6041666666666666,0.2413793103448276,0.2413793103448276,0.6724137931034483,0.367816091954023
veyru/1778884598,claude-opus-4-7,anthropic,2000,1442105971,15,1,4,28,28,1.0,1.0,1.0,0.8571428571428571,1.0,0.875,0.875,0.96875,0.125
veyru/1778884860,claude-opus-4-7,anthropic,2000,1118310560,15,2,4,28,0,1.0,1.0,1.0,0.42857142857142855,0.7321428571428572,0.375,0.375,0.71875,1.0
veyru/1780417820,gpt-5.4,openai,150,195606919,15,1,2,37,27,1.0,1.0,1.0,0.0,0.8918918918918919,0.0,0.1794871794871795,0.8974358974358975,0.2564102564102564
veyru/1780420992,gpt-5.4,openai,150,1822438676,15,1,2,0,0,1.0,1.0,,,,1.0,1.0,1.0,1.0
veyru/1780437444,claude-sonnet-4-6,anthropic,150,1107666244,15,3,28,113,55,0.7083333333333334,0.8333333333333334,0.9582458473310937,0.6310190369540873,0.9309910414333706,0.8439716312056738,0.8439716312056738,0.9148936170212766,0.3262411347517731
veyru/1780437719,claude-opus-4-7,anthropic,150,195368233,15,2,5,9,9,1.0,1.0,1.0,0.0,0.5555555555555556,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.21428571428571427
