run_key,model,provider,round_time_budget_seconds,seed,round_count,n_constructions,n_controls_tested,n_novel_tested,n_novel_pooled,grid_saturation_mean,grid_saturation_median,effective_saturation_decode_mean,cx_weighted_exact_rate,cx_weighted_decode_rate,item_weighted_exact_rate,item_weighted_bag_rate,item_weighted_decode_rate,item_weighted_valid_rate
veyru/1780441382,claude-sonnet-4-6,anthropic,250,1541649163,15,1,1,1,0,0.75,0.75,0.875,1.0,0.5,1.0,1.0,0.5,0.5
veyru/1780442252,claude-opus-4-7,anthropic,450,978025339,15,3,9,8,8,1.0,1.0,1.0,0.0,0.6333333333333333,0.5294117647058824,0.5294117647058824,0.8529411764705882,0.8235294117647058
veyru/1780444375,claude-opus-4-7,anthropic,150,1582742009,15,2,9,32,32,1.0,1.0,1.0,0.0,0.484375,0.14634146341463414,0.14634146341463414,0.5609756097560976,0.24390243902439024
veyru/1780445165,claude-opus-4-7,anthropic,150,1682950403,15,3,11,82,82,1.0,1.0,1.0,0.2926829268292683,0.75,0.27956989247311825,0.2903225806451613,0.7580645161290323,0.5913978494623656
veyru/1780446220,claude-opus-4-7,anthropic,250,1108894012,15,1,2,24,24,1.0,1.0,1.0,0.875,1.0,0.8461538461538461,0.8461538461538461,1.0,0.9230769230769231
veyru/1780446940,claude-opus-4-7,anthropic,250,1959388619,15,1,2,12,12,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.42857142857142855,0.42857142857142855,0.7857142857142857,0.07142857142857142
veyru/1780448643,claude-opus-4-7,anthropic,800,511873730,15,1,5,72,72,1.0,1.0,1.0,0.0,0.8125,0.0,0.0,0.8246753246753247,0.7922077922077922
veyru/1780449113,claude-opus-4-7,anthropic,800,1506829538,15,1,2,19,18,1.0,1.0,1.0,1.0,0.9736842105263158,1.0,1.0,0.9761904761904762,0.14285714285714285
veyru/1780588076,gpt-5.4,openai,250,1245697238,15,1,2,4,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
veyru/1780590206,gpt-5.4,openai,450,124608717,15,2,5,19,18,0.875,0.875,0.9736842105263158,0.0,0.8947368421052632,0.0,0.0,0.875,0.041666666666666664
veyru/1780600846,claude-sonnet-4-6,anthropic,250,369777122,15,1,7,5,0,0.5833333333333334,0.5833333333333334,0.9583333333333334,1.0,0.9,0.9166666666666666,0.9166666666666666,0.7083333333333334,0.5833333333333334
veyru/1780606103,claude-sonnet-4-6,anthropic,450,856216628,15,1,2,0,0,1.0,1.0,,,,1.0,1.0,1.0,1.0
veyru/1780608292,claude-sonnet-4-6,anthropic,800,1186281533,15,1,2,0,0,1.0,1.0,,,,1.0,1.0,0.5,0.0
veyru/1780613142,claude-opus-4-7,anthropic,800,422090940,15,2,4,32,31,1.0,1.0,1.0,0.5,0.675,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.2222222222222222
veyru/1780615588,claude-sonnet-4-6,anthropic,250,1201171594,15,1,2,7,7,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.1111111111111111
veyru/1780617581,claude-sonnet-4-6,anthropic,450,924827217,15,1,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
veyru/1780617759,claude-opus-4-7,anthropic,450,1497257848,15,6,14,64,60,1.0,1.0,1.0,0.7857142857142857,0.8430886243386243,0.8205128205128205,0.8205128205128205,0.8846153846153846,0.6153846153846154
veyru/1780619478,claude-sonnet-4-6,anthropic,800,1675439230,15,2,4,1,1,1.0,1.0,1.0,0.0,0.5,0.4,0.4,0.8,0.6
veyru/1781083392,claude-opus-4-7,anthropic,800,852236905,15,2,4,2,2,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.5
